City,Latitude,Longitude,Population
Aberdeen-Scotland,57.149651,-2.099075,228800
Adelaide-Australia,-34.928497,138.600739,1333927
Algiers-Algeria,36.753769,3.058756,2988145
Amsterdam-Netherlands,52.370216,4.895168,866737
Ankara-Turkey,39.933365,32.859741,5346518
Asunción-Paraguay,-25.299999,-57.630001,680250
Athens-Greece,37.983810,23.727539,664046
Auckland-New Zealand,-36.848461,174.763336,1467800
Bangkok-Thailand,13.756331,100.501762,9617000
Barcelona-Spain,41.385063,2.173404,1620809
Beijing-China,39.904202,116.407394,21710000
Belém-Brazil,-1.454980,-48.502270,1439850
Belfast-Northern Ireland,54.597271,-5.930110,341877
Belgrade-Serbia,44.815071,20.460480,1166763
Berlin-Germany,52.520008,13.404954,3769495
Birmingham-England,52.486244,-1.890401,1141816
Bogotá-Colombia,4.710989,-74.072090,7412566
Bombay-India,19.075983,72.877655,12478447
Bordeaux-France,44.837788,-0.579180,254436
Bremen-Germany,53.074982,8.807080,569352
Brisbane-Australia,-27.469770,153.025131,2514184
Bristol-England,51.455311,-2.591900,463400
Brussels-Belgium,50.850346,4.351721,1208542
Bucharest-Romania,44.426765,26.102537,1883425
Budapest-Hungary,47.497913,19.040236,1752286
Buenos Aires-Argentina,-34.603683,-58.381557,2891082
Cairo-Egypt,30.044420,31.235712,9500000
Calcutta-India,22.572645,88.363892,4496694
Canton-China,44.478020,-69.517990,14904400
Cape Town-South Africa,-33.924870,18.424055,3776000
Caracas-Venezuela,10.480594,-66.903603,2245744
Cayenne-French Guiana,4.938000,-52.335049,61268
Chihuahua-Mexico,28.632996,-106.069099,878062
Chongqing-China,29.431585,106.912254,30484300
Copenhagen-Denmark,55.676098,12.568337,794128
Córdoba-Argentina,-31.420082,-64.188774,1317298
Dakar-Senegal,14.716677,-17.467686,2452656
Darwin-Australia,-12.463440,130.845642,148564
Djibouti-Djibouti,11.600470,43.150829,562000
Dublin-Ireland,53.349804,-6.260310,554554
Durban-South Africa,-29.858681,31.021839,3720953
Edinburgh-Scotland,55.953251,-3.188267,488050
Frankfurt-Germany,50.110924,8.682127,753056
Georgetown-Guyana,6.801279,-58.155125,200500
Glasgow-Scotland,55.864239,-4.251806,633120
Guatemala City-Guatemala,14.634915,-90.506882,923392
Guayaquil-Ecuador,-2.147630,-79.941750,2698077
Hamburg-Germany,53.551086,9.993682,1899160
Hammerfest-Norway,70.662323,23.682751,11448
